Date,BankCredit,FinancialStressIndex
2025-07-02,18518.0567,
2025-07-04,,-0.8799
2025-07-09,18536.6905,
2025-07-11,,-0.7522
2025-07-16,18552.6977,
2025-07-18,,-0.7175
2025-07-23,18582.2913,
2025-07-25,,-0.8022
2025-07-30,18600.2821,
2025-08-01,,-0.6834
2025-08-06,18625.0559,
2025-08-08,,-0.5735
2025-08-13,18653.9915,
2025-08-15,,-0.8214
2025-08-20,18653.9173,
2025-08-22,,-0.7556
2025-08-27,18719.8237,
2025-08-29,,-0.6104
2025-09-03,18695.2317,
2025-09-05,,-0.4257
2025-09-10,18724.7938,
2025-09-12,,-0.5698
2025-09-17,18731.7445,
2025-09-19,,-0.5961
2025-09-24,18757.346,
2025-09-26,,-0.5398
2025-10-01,18781.6865,
2025-10-03,,-0.4993
2025-10-08,18784.0133,
2025-10-10,,-0.4885
2025-10-15,18824.7544,
2025-10-17,,-0.3719
2025-10-22,18850.0926,
2025-10-24,,-0.513
2025-10-29,18823.7015,
2025-10-31,,-0.4627
2025-11-05,18847.9831,
2025-11-07,,-0.3134
2025-11-12,18879.6583,
2025-11-14,,-0.5096
2025-11-19,18912.1808,
2025-11-21,,-0.1347
2025-11-26,18931.4067,
2025-11-28,,-0.3971
2025-12-03,18893.5856,
2025-12-05,,-0.4259
2025-12-10,18917.7551,
2025-12-12,,-0.3596
2025-12-17,18937.213,
2025-12-19,,-0.34
2025-12-24,18963.8458,
2025-12-26,,-0.5806
2025-12-31,18940.2396,
2026-01-02,,-0.5644
2026-01-07,19000.6546,
2026-01-09,,-0.663
2026-01-14,19059.0228,
2026-01-16,,-0.6505
2026-01-21,19133.0446,
2026-01-23,,-0.7119
2026-01-28,19141.7611,
2026-01-30,,-0.6781
2026-02-04,19182.1334,
2026-02-06,,-0.6556
2026-02-11,19253.4749,
2026-02-13,,-0.6203
2026-02-18,19274.4446,
2026-02-20,,-0.4881
2026-02-25,19268.2442,
2026-02-27,,-0.4433
2026-03-04,19312.6204,
2026-03-06,,-0.4292
2026-03-11,19350.7454,
2026-03-13,,-0.2996
2026-03-18,19356.6915,
2026-03-20,,-0.3677
2026-03-25,19384.3126,
2026-03-27,,-0.1825
2026-04-03,,-0.2412
