========================================================================
DebateTrader Backtest Summary
========================================================================
Initial capital : $1,000,000
Periods         : 22 weeks
Date range      : 2025-08-04 -> 2026-01-05

Metric                             Strategy     EqWeight      SPY B&H        60/40
------------------------------------------------------------------------
Total return                        +38.51%       +27.61%        +9.73%        +6.10%
Annualised return                  +115.96%       +77.96%       +24.54%       +15.03%
Sharpe ratio (ann.)                  4.9327        5.5306        2.6214        2.6277
Max drawdown                         +2.55%        +1.90%        +3.35%        +1.99%
Win rate                              72.7%         77.3%         63.6%         59.1%
Avg weekly return                  +1.5145%      +1.1247%      +0.4295%      +0.2722%

Period detail (Strategy)
------------------------------------------------------------------------
  2025-08-03  2025-08-04 -> 2025-08-11    +3.65%  $   1,036,522
  2025-08-10  2025-08-11 -> 2025-08-18    +2.71%  $   1,064,651
  2025-08-17  2025-08-18 -> 2025-08-25    -0.04%  $   1,064,200
  2025-08-24  2025-08-25 -> 2025-09-02    +0.85%  $   1,073,194
  2025-08-31  2025-09-02 -> 2025-09-08    +7.35%  $   1,152,108
  2025-09-07  2025-09-08 -> 2025-09-15    +1.67%  $   1,171,390
  2025-09-14  2025-09-15 -> 2025-09-22    +1.62%  $   1,190,338
  2025-09-21  2025-09-22 -> 2025-09-29    -0.04%  $   1,189,911
  2025-09-28  2025-09-29 -> 2025-10-06    -0.11%  $   1,188,590
  2025-10-05  2025-10-06 -> 2025-10-13    -1.83%  $   1,166,856
  2025-10-12  2025-10-13 -> 2025-10-20    +0.99%  $   1,178,364
  2025-10-19  2025-10-20 -> 2025-10-27    +3.10%  $   1,214,866
  2025-10-26  2025-10-27 -> 2025-11-03    +5.68%  $   1,283,834
  2025-11-02  2025-11-03 -> 2025-11-10    +2.60%  $   1,317,273
  2025-11-09  2025-11-10 -> 2025-11-17    +1.06%  $   1,331,202
  2025-11-16  2025-11-17 -> 2025-11-24    +2.33%  $   1,362,226
  2025-11-23  2025-11-24 -> 2025-12-01    +2.19%  $   1,392,020
  2025-11-30  2025-12-01 -> 2025-12-08    -2.55%  $   1,356,455
  2025-12-07  2025-12-08 -> 2025-12-15    +0.79%  $   1,367,176
  2025-12-14  2025-12-15 -> 2025-12-22    -0.10%  $   1,365,869
  2025-12-21  2025-12-22 -> 2025-12-29    +0.50%  $   1,372,730
  2025-12-28  2025-12-29 -> 2026-01-05    +0.90%  $   1,385,054
